tmdb_id,keywords
188102,"[{'id': 6270, 'name': 'high school'}, {'id': 41203, 'name': 'clique'}, {'id': 185158, 'name': 'preparatory school'}, {'id': 208517, 'name': 'elitism'}, {'id': 211596, 'name': 'cheating at exam'}]"
97008,"[{'id': 7486, 'name': 'milk'}, {'id': 34244, 'name': 'organic agriculture'}]"
220820,[]
44489,"[{'id': 10183, 'name': 'independent film'}]"
129400,"[{'id': 108, 'name': 'transvestism'}, {'id': 1161, 'name': 'brazil'}, {'id': 1759, 'name': 'night life'}, {'id': 3485, 'name': 'comedian'}, {'id': 9840, 'name': 'romance'}, {'id': 10180, 'name': 'homosexuality'}]"
253899,"[{'id': 409, 'name': 'africa'}, {'id': 6015, 'name': 'mining'}, {'id': 9794, 'name': 'toxic'}]"
169448,"[{'id': 187056, 'name': 'woman director'}]"
21861,"[{'id': 187056, 'name': 'woman director'}]"
11933,"[{'id': 798, 'name': 'sheriff'}, {'id': 824, 'name': 'drag queen'}, {'id': 1415, 'name': 'small town'}, {'id': 5628, 'name': 'broker'}, {'id': 10910, 'name': 'wealthy'}]"
14074,"[{'id': 9762, 'name': 'varg'}, {'id': 158279, 'name': 'hunt'}]"
19761,"[{'id': 305, 'name': 'moon'}, {'id': 316, 'name': 'chess'}, {'id': 331, 'name': 'tattoo'}, {'id': 679, 'name': 'cyborg'}, {'id': 1373, 'name': 'killer robot'}, {'id': 2483, 'name': 'nudity'}, {'id': 3801, 'name': 'space travel'}, {'id': 4165, 'name': 'saturn'}, {'id': 9826, 'name': 'murder'}, {'id': 9831, 'name': 'spaceship'}, {'id': 10022, 'name': 'rampage'}, {'id': 10292, 'name': 'gore'}, {'id': 12375, 'name': 'transhumanism'}, {'id': 14544, 'name': 'robot'}, {'id': 14760, 'name': 'scientist'}, {'id': 14964, 'name': 'drug'}, {'id': 156039, 'name': 'space station'}, {'id': 157444, 'name': 'dismemberment'}, {'id': 197339, 'name': 'hydroponics'}]"
157422,[]
44040,"[{'id': 2147, 'name': 'claustrophobia'}, {'id': 173316, 'name': 'trapped in an elevator'}]"
222581,[]
65703,[]
54566,[]
72002,"[{'id': 378, 'name': 'prison'}]"
347497,"[{'id': 9817, 'name': 'behind the scenes'}, {'id': 161176, 'name': 'space opera'}]"
38460,[]
253283,"[{'id': 9840, 'name': 'romance'}, {'id': 10163, 'name': 'cancer'}, {'id': 10267, 'name': 'comedy'}, {'id': 155236, 'name': 'auto accident'}, {'id': 187056, 'name': 'woman director'}, {'id': 209586, 'name': 'awkward'}]"
27387,"[{'id': 10714, 'name': 'serial killer'}, {'id': 155037, 'name': 'democrat'}]"
28067,"[{'id': 570, 'name': 'rape'}, {'id': 3799, 'name': 'ship'}, {'id': 4078, 'name': 'ghost ship'}, {'id': 9663, 'name': 'sequel'}, {'id': 10327, 'name': 'undead'}, {'id': 12377, 'name': 'zombie'}, {'id': 156075, 'name': 'evil'}, {'id': 209135, 'name': 'coast'}, {'id': 212651, 'name': 'galleon'}]"
41374,"[{'id': 10714, 'name': 'serial killer'}]"
404567,"[{'id': 10183, 'name': 'independent film'}, {'id': 13159, 'name': 'chinese'}]"
28032,"[{'id': 179411, 'name': 'based on fairy tale'}]"
68728,"[{'id': 291, 'name': 'circus'}, {'id': 616, 'name': 'witch'}, {'id': 2343, 'name': 'magic'}, {'id': 3929, 'name': 'hope'}, {'id': 4662, 'name': 'illusion'}, {'id': 44451, 'name': 'lost'}, {'id': 172365, 'name': 'magic trick'}, {'id': 177912, 'name': 'wizard'}, {'id': 209714, 'name': '3d'}]"
35217,"[{'id': 279, 'name': 'usa'}, {'id': 1772, 'name': 'german democratic republic'}, {'id': 6054, 'name': 'friendship'}]"
433034,[]
