adult,belongs_to_collection,budget,genres,homepage,tmdb_id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",http://www.facebook.com/ZforZachariah,193687,tt1598642,en,Z for Zachariah,"In the wake of a nuclear war, a young woman survives on her own, fearing she may actually be the proverbial last woman on earth, until she discovers the most astonishing sight of her life: another human being. A distraught scientist, he’s nearly been driven mad by radiation exposure and his desperate search for others. A fragile, imperative strand of trust connects them. But when a stranger enters the valley, their precarious bond begins to unravel.",5.30588,/c7rdpZlviWAcOOx5bnzfqPPPNvq.jpg,"[{'name': 'Palomar Pictures', 'id': 2380}, {'name': 'Lucky Hat Entertainment', 'id': 8510}, {'name': 'Silver Reel', 'id': 12075}, {'name': 'Material Pictures', 'id': 12139}, {'name': 'Zik Zak Kvikmyndir', 'id': 14938}, {'name': 'Zik Zak Filmworks', 'id': 28201}, {'name': 'Night Fox Entertainment', 'id': 51295}]","[{'iso_3166_1': 'IS', 'name': 'Iceland'}, {'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-08-13,121461,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,After the end of the world she thought she was alone. She was wrong.,Z for Zachariah,False,5.6,278
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",,112092,tt0430582,sr,Šejtanov ratnik,"Trouble usually starts when the power falls into the wrong hands. That's how the book that hides an ancient evil fell to Stanislav. It does not matter whether Stanislav is a nice guy who helps old ladies cross the street, a psychopath, nerd, or a blood-thirsty young man.",0.438674,/3Rw5z43Pd2jtwupc22TVQbrWiV3.jpg,"[{'name': 'Hypnopolis', 'id': 51316}]","[{'iso_3166_1': 'RS', 'name': 'Serbia'}]",2006-04-19,0,94.0,"[{'iso_639_1': 'sr', 'name': 'Srpski'}]",Released,,Sheitan Warrior,False,6.1,4
False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,224815,tt2881698,en,Skinwalker Ranch,"In  2010 “Skinwalker Ranch” gained media attention after experiencing a wide range of unexplained phenomena. Reports ranged from UFO sightings to livestock mutilation, but maybe most notable was the disappearance of ranch owner Hoyt Miller’s eight-year-old son Cody on November 11, 2010. Close to a year later, Modern Defense Enterprises has sent a team of experts to document and investigate the mysterious occurrences, which only escalate upon their arrival. Tensions rise as the team must decide how far they will go to unlock the mysteries of “Skinwalker Ranch.” The group debates whether the answers are worth risking their lives for, or if they should just call off the investigation and leave the ranch—that is, if leaving is actually an option…",2.750956,/gqEfe007ZEa8WwWZAXl57zu4o0s.jpg,"[{'name': 'DeepStudios', 'id': 13194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-10-30,0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There is a place The Unexplained calls home,Skinwalker Ranch,False,5.0,47
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,3582,tt0054086,en,The Millionairess,"When her father dies, Epifania Parerga, an Italian in London, becomes the world's richest woman. She feels incomplete without a husband and falls in love with a humble, Indian physician, Ahmed el Kabir, much loved by his indigent English patients.",3.001543,/qYxLsOBXtEk4Hx0jAxpBulOx0qk.jpg,"[{'name': 'Dimitri De Grunwald Production', 'id': 1462}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1960-10-18,0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Millionairess,False,5.3,9
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.nfb.ca/film/final_offer/,441652,tt0089144,en,Final Offer,"The filmmakers were given remarkable freedom to record the historic 1984 contract negotiations between the United Auto Workers and General Motors Corporation. Bob White, labour leader of the Canadian branch of the UAW, must also confront his American counterpart from Detroit and succeeds in arriving at a contract that is significantly Canadian. His members had already given him a mandate to fight for independence from the American union. This is an invaluable document for anyone interested in the complexities of United States-Canada relations. It's an extraordinary film about revolutionary events.",0.0,/9gUNayJ687maJvpewZqlFCZIpox.jpg,"[{'name': 'National Film Board of Canada', 'id': 10473}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1985-11-26,0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Final Offer,False,0.0,0
False,,0,"[{'id': 10752, 'name': 'War'}, {'id': 35, 'name': 'Comedy'}]",,299104,tt0035964,ja,Hana saku minato,"The sweet but naive denizens of a charming port town are hoodwinked by a couple of con men at the outset of World War II. But the hustlers’ plan backfires when they come down with severe cases of conscience. Keisuke Kinoshita’s directorial debut is a breezy, warmhearted, and often very funny crowd-pleaser that’s a testament to the filmmaker’s faith in people.",0.12133,/e0dPbfzpdUingBzqcVT6lk6itDc.jpg,"[{'name': 'Shochiku Co., Ltd.', 'id': 192}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1943-07-29,0,82.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Port of Flowers,False,8.7,3
False,,0,"[{'id': 18, 'name': 'Drama'}]",,286267,tt0137951,fi,Miehen tie,"Young farmer Paavo's wife dies in childbirth, and their baby soon after. The wife's family claim back the dowry she brought to their marriage, but Paavo has already used most of it for improvements at the farm. Paavo's life starts going downhill as he resorts to drinking.",0.001908,/u2onZBaDuHHASayB2afRVGVgMIL.jpg,"[{'name': 'Eloseppo', 'id': 29650}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",1940-09-01,0,93.0,"[{'iso_639_1': 'fi', 'name': 'suomi'}]",Released,,One Man's Fate,False,0.0,0
False,,7000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.lastnightmovie.com/,23830,tt1294688,en,Last Night,"The story follows a married couple, apart for a night while the husband takes a business trip with a colleague to whom he's attracted. While he's resisting temptation, his wife encounters her past love.",15.280219,/aninK9Vh1hBnkdWtEGahulF3Fqe.jpg,"[{'name': 'Gaumont', 'id': 9}, {'name': 'Nick Wechsler Productions', 'id': 8073}, {'name': 'Star Entertainment', 'id': 23035}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-05-11,7644937,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Temptation can lead anywhere.,Last Night,False,6.1,243
False,,45000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,7443,tt0120630,en,Chicken Run,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Rocky the american rooster and Ginger the chicken decide to rebel against the evil Mr. and Mrs. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom.",11.834245,/8XgmIsbpVamdhwcNVsYzohFZTtT.jpg,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Aardman Animations', 'id': 297}, {'name': 'DreamWorks Animation', 'id': 521}, {'name': 'Pathé', 'id': 7981}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2000-06-21,224834564,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,This ain't no chick flick. It's poultry in motion.,Chicken Run,False,6.5,1190
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,153737,tt0134805,ja,まごころ,A young student falls into a hopeless romantic attraction to an invalid girl whom he can only see from afar.,0.478836,/k3vpNGfzheICDOD2zTlNZkL6pwm.jpg,"[{'name': 'Shôchiku Eiga', 'id': 5070}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",1953-01-29,0,95.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Sincere Heart,False,5.0,1
