userId,movieLensId,tmdbId,rating,timestamp
92296,1228,1578,4.0,1249006253
106051,6379,9902,1.5,1169257175
236324,75440,16239,2.5,1273668713
219244,2550,11772,3.0,965421253
196795,4733,2779,3.0,1159562690
2527,2265,11933,1.0,973577126
162595,164455,384664,3.5,1494520936
107599,27808,2539,3.5,1134868442
218706,5250,21629,4.0,1048628533
267765,7578,31993,4.0,1268836485
188245,4956,42160,5.0,1038360902
152150,5387,1957,2.0,1280598805
178800,134695,202198,4.0,1433819040
113565,115879,82424,5.0,1439766715
189718,127218,193687,4.0,1450772510
220337,7171,37088,3.0,1264647143
52999,164679,402612,3.0,1475700209
107339,125966,15718,1.5,1436250310
268104,98859,40004,4.0,1355326557
172224,5387,1957,3.0,1042773505
85434,6351,45069,3.0,1053441927
89258,3068,24226,4.5,1174578697
74006,6217,24186,1.0,1080346610
97953,131050,80527,5.0,1495239494
74275,5469,19731,3.0,1357079885
125660,70093,22215,3.0,1435407653
104875,70802,18032,2.0,1430218160
182690,8695,27437,3.0,1093064933
179023,109578,225574,4.5,1464405497
209528,131050,80527,4.0,1446574133
18366,5858,9317,2.0,1447557991
190753,487,22317,2.0,946640761
8659,115251,33388,3.0,1414312691
86161,56837,19103,2.5,1454169740
263535,61361,13972,4.5,1230940448
8659,6578,53021,3.0,1058214225
86161,32864,30204,3.5,1454993261
185559,150395,349176,2.0,1452351160
179792,78895,21042,4.5,1404734374
148209,684,83857,3.0,848774624
62962,2507,12479,3.0,1486269221
185736,117517,251736,4.0,1420914644
229633,113064,242088,2.5,1419174485
57453,144364,25655,3.0,1501075748
49898,166157,81400,4.0,1500496237
214558,150395,349176,2.5,1466263445
70047,3469,1908,4.0,1154232373
172224,5441,103299,3.0,1027154341
212236,80617,39691,3.0,1429214164
145063,32646,24964,5.0,1211588996
24266,117127,17893,4.0,1484873916
62441,107740,53500,2.0,1388867940
176443,55031,14348,4.0,1425827426
178373,146024,45227,4.0,1446579631
207261,1306,10341,4.0,1078691772
9584,2841,11601,3.0,1300493817
13334,2841,11601,4.0,1010781992
56890,534,10445,3.0,868528126
221327,40828,44163,4.0,1238526183
135103,7171,37088,3.5,1118472041
97941,6019,24711,0.5,1269314468
1136,2472,11038,3.0,968174506
148857,7285,11023,2.5,1077997879
214438,36799,16374,5.0,1283048222
175682,4434,65632,5.0,998696363
90683,5858,9317,2.5,1129369580
47380,32864,30204,0.5,1463069727
30169,2028,857,4.0,1438419668
71161,109578,225574,4.5,1458311798
8330,3636,31353,3.0,967123538
141755,78895,21042,3.5,1373898724
234814,7275,29464,1.0,1204454816
112198,5658,25001,4.0,1254459090
78415,5168,18646,4.0,1043977697
48622,116167,122047,3.5,1480447288
35233,609,25059,3.5,1443072480
254924,3857,10391,1.0,1048091703
176830,78574,39013,3.5,1369989647
137932,2472,11038,2.0,965111032
218918,4971,23111,2.5,1077008689
187100,5331,19085,4.0,1031007059
58004,51773,47249,4.5,1497366394
169409,78574,39013,5.0,1490244213
189211,2572,4951,3.5,1324512253
118927,80617,39691,4.5,1286416772
51027,103279,127373,4.0,1451101869
36380,94762,110573,0.5,1345303888
266783,6019,24711,2.5,1071710371
61998,37720,8643,0.5,1136836429
45811,84479,84207,3.0,1482568524
78809,6578,53021,2.0,1062196737
174486,133741,71393,3.5,1433265681
268104,98045,14720,4.5,1359376896
219677,95497,39104,3.5,1435812416
210792,147346,40469,1.0,1467116657
21456,6635,41944,3.0,1063734092
30919,5469,19731,1.5,1063620801
56743,99305,98886,3.0,1418915338
222647,25936,43452,2.5,1352153029
69322,1475,28005,3.0,1030217272
210002,1075,116356,3.0,861957760
240212,111993,140870,3.5,1411074719
109491,4755,27681,3.5,1189692271
86611,3064,18222,2.0,974798287
65213,112807,30146,0.5,1422990377
214484,151781,18874,4.5,1483216192
161839,1016,15944,3.0,975113434
24025,73614,32097,4.0,1459091568
227753,99222,139455,2.5,1463268485
166203,145857,321039,1.0,1471180114
109261,69640,11322,4.5,1304363849
30973,55261,9038,1.0,1197115168
29128,356,13,5.0,1484972388
43128,4465,10868,3.5,1203886142
121083,51911,47837,4.0,1207339345
178352,69685,24232,4.5,1279953441
214143,4972,42597,4.0,1018745103
109610,1869,18316,3.0,963897481
164169,55261,9038,4.5,1466234542
145801,41714,42234,5.0,1317752230
258804,6351,45069,3.0,1054061187
92230,148070,284288,3.5,1448910334
174674,6801,11477,3.5,1103137688
134287,5656,120694,1.5,1065669878
228689,5387,1957,2.0,1035499326
56954,58937,7351,3.5,1271361213
224575,6921,224,3.5,1231974067
232918,164909,313369,4.0,1486352874
140111,113064,242088,4.0,1458577449
259067,1869,18316,1.5,1053447637
228209,1025,9078,2.5,1192780691
56954,107334,25866,3.0,1414172396
119365,7827,10133,2.0,1301633888
9733,5263,29396,2.5,1070230040
78340,60314,40630,1.0,1316384874
46143,26757,94666,2.5,1259087605
221214,3767,12764,0.5,1072127181
132350,79677,53190,2.5,1447997847
171101,4971,23111,2.5,1125592639
3557,99305,98886,4.5,1424667101
101225,3636,31353,1.5,1167774951
240325,107771,152603,4.5,1485136737
123886,77177,141714,4.0,1497537503
243682,46574,14474,2.5,1208760808
265512,61301,18116,4.0,1365265532
108620,142540,353686,3.0,1477322068
74108,92096,34179,3.0,1439860563
266590,143886,250572,3.0,1474983814
214496,81673,52111,3.5,1324911621
38730,2740,48660,3.5,1054220602
77334,5250,21629,4.0,1063777564
198908,26070,79827,4.5,1301332454
176920,32646,24964,5.0,1114570536
22995,143886,250572,3.0,1445039430
205436,27528,23305,2.0,1125923241
160623,27919,21754,3.0,1494025259
98104,1016,15944,3.5,1074351091
28892,8902,62697,0.5,1220288165
97073,1602,37244,4.0,1488084145
207612,121124,85373,3.5,1474904965
106584,117136,209361,3.5,1443883387
238526,2841,11601,4.0,1005833395
173730,7343,37044,2.0,1113520655
270441,140349,27169,5.0,1483640441
122892,58937,7351,4.0,1430779865
61625,4956,42160,4.0,1062703769
78910,171191,33914,3.0,1494280578
66338,68069,27644,1.0,1308790516
79172,158972,374475,3.5,1494508604
44659,3323,20682,2.5,1118670823
181389,80617,39691,2.5,1291021488
97997,90933,51994,2.0,1323579768
253598,41617,14695,2.0,1271645126
40912,46574,14474,3.0,1372704210
266139,5168,18646,4.0,1204086880
103306,69685,24232,4.0,1447981261
105207,27668,44203,4.0,1472482537
132962,153800,23848,1.0,1456479378
86934,4086,11028,2.5,1093199643
70888,1908,136134,3.0,1018187686
91410,85540,48243,3.0,1468365318
238426,7569,667,4.0,1116470422
166257,5658,25001,2.5,1086200237
89020,113037,31896,3.5,1406742214
46684,139966,41668,2.0,1470142129
186925,4465,10868,4.0,1021222749
182437,142540,353686,3.0,1489284326
32984,50165,16371,2.0,1269929642
187854,110390,138222,5.0,1440186603
34280,89321,54662,1.5,1464337697
178073,109627,199818,4.0,1496127906
59908,1475,28005,4.5,1096608819
11328,170157,443053,2.5,1489791583
152561,3619,21879,3.0,984708683
88895,102762,26146,4.0,1446287578
231810,107684,119278,0.5,1388598502
180653,6818,25237,4.5,1490706226
143751,46954,81312,3.0,1262808159
200236,5502,2675,3.0,1320442867
5565,3751,7443,5.0,1500659823
115766,7393,78364,2.0,1254941685
228259,57368,7191,5.0,1213867169
115128,102762,26146,2.5,1440273403
51758,4565,12500,3.0,1228627815
172070,534,10445,3.5,1265944075
29289,91888,63498,2.5,1368816565
49899,117517,251736,3.0,1465892651
133737,6801,11477,3.5,1070922847
